"","nta","entries","exits","total"
"1","BK09",331000066,48909564,379909630
"2","BK17",212356414,17402876,229759290
"3","BK19",247373235,17704531,265077766
"4","BK21",8344322,2148822,10493144
"5","BK23",10263433,16611457,26874890
"6","BK25",1580708987,1590569924,3171278911
"7","BK26",3047071617,4309609369,7356680986
"8","BK28",649455543,262988840,912444383
"9","BK29",2464328085,2688015349,5152343434
"10","BK31",3740021499,2322862968,6062884467
"11","BK32",4716500033,4641606428,9358106461
"12","BK33",13924845,16910942,30835787
"13","BK34",78137744,43983224,122120968
"14","BK35",3351716999,1153368629,4505085628
"15","BK37",2427511672,4244463749,6671975421
"16","BK38",919109533,4001874785,4920984318
"17","BK40",100665864,3810435,104476299
"18","BK41",368021828,108997517,477019345
"19","BK42",3521691906,2840488706,6362180612
"20","BK43",1658330136,3171941982,4830272118
"21","BK44",2133485699,2647883918,4781369617
"22","BK46",1432193747,2153105300,3585299047
"23","BK50",67775183,6499863,74275046
"24","BK60",467093329,174282023,641375352
"25","BK61",1944450385,1726777695,3671228080
"26","BK63",2830471600,5510991076,8341462676
"27","BK64",1854549920,786326311,2640876231
"28","BK68",4500100146,2975925856,7476026002
"29","BK69",6580088432,13249581454,19829669886
"30","BK72",241434078,944183287,1185617365
"31","BK73",2332348858,2968505448,5300854306
"32","BK75",7413752074,5746085482,13159837556
"33","BK76",195545759,91719162,287264921
"34","BK77",7763980946,2398078936,10162059882
"35","BK78",1305963740,748814979,2054778719
"36","BK79",2004797024,207401621,2212198645
"37","BK81",1987093831,266165344,2253259175
"38","BK82",3131808745,417650875,3549459620
"39","BK83",229491016,150501150,379992166
"40","BK85",14241035,8247347,22488382
"41","BK88",586903456,1098983666,1685887122
"42","BK90",652322793,3476008982,4128331775
"43","BK91",43843319,30107794,73951113
"44","BK95",21307378,16597232,37904610
"45","BK99",6649617,7666220,14315837
"46","BX03",538469081,538152946,1076622027
"47","BX05",4201512252,4623372931,8824885183
"48","BX07",22311414,9274047,31585461
"49","BX08",307872988,20849290,328722278
"50","BX10",421731683,87621168,509352851
"51","BX13",13744808,1111759,14856567
"52","BX14",926060969,2094105079,3020166048
"53","BX17",434396447,61994325,496390772
"54","BX27",945162609,2500072055,3445234664
"55","BX28",3737166676,4537207411,8274374087
"56","BX29",124415186,67470764,191885950
"57","BX31",441067033,98976049,540043082
"58","BX33",25559007,28586413,54145420
"59","BX34",191528341,54426348,245954689
"60","BX35",268492800,1006762724,1275255524
"61","BX36",44170887,12964269,57135156
"62","BX37",10258545,9382253,19640798
"63","BX39",7161688107,4902728763,12064416870
"64","BX40",1803040583,1877347534,3680388117
"65","BX41",2274761608,47793447,2322555055
"66","BX43",56263088,54014280,110277368
"67","BX44",126616361,33052899,159669260
"68","BX49",417971182,82029985,500001167
"69","BX55",25584381,19513426,45097807
"70","BX59",129118921,18199379,147318300
"71","BX62",24345993,21682983,46028976
"72","BX63",3770769179,4312986077,8083755256
"73","BX75",690355312,302185679,992540991
"74","MN01",342264282,190591171,532855453
"75","MN03",827247250,1507276679,2334523929
"76","MN04",1373630106,2946456536,4320086642
"77","MN06",1336824834,1765076504,3101901338
"78","MN09",10850780202,6279642252,17130422454
"79","MN11",9610681290,6526859801,16137541091
"80","MN12",2762129240,3604485117,6366614357
"81","MN13",45993628945,42368465129,88362094074
"82","MN14",9372461580,8808966151,18181427731
"83","MN15",28108733,37974012,66082745
"84","MN17",72204810002,59905792884,132110602886
"85","MN19",7811210582,10135359406,17946569988
"86","MN20",456326059,3366062637,3822388696
"87","MN21",5347166,6501423,11848589
"88","MN22",967558628,1018971133,1986529761
"89","MN23",4973459228,3738825087,8712284315
"90","MN24",34995996048,24796555425,59792551473
"91","MN25",18653293443,15464018746,34117312189
"92","MN27",8591176982,9684706416,18275883398
"93","MN28",2127009299,639225694,2766234993
"94","MN31",1601436880,1977658479,3579095359
"95","MN32",1935193704,2188429722,4123623426
"96","MN33",1144978304,1949796427,3094774731
"97","MN34",6587523539,4051306938,10638830477
"98","MN35",120232973,93781981,214014954
"99","MN36",2294606442,755212617,3049819059
"100","MN40",21262558047,19786458598,41049016645
"101","MN99",4309275956,5583631587,9892907543
"102","QN10",2484855004,233773090,2718628094
"103","QN12",1248767520,104747125,1353514645
"104","QN15",254157392,26068703,280226095
"105","QN17",1339012326,1128793330,2467805656
"106","QN18",100739517,17064542,117804059
"107","QN20",1240306404,1174686843,2414993247
"108","QN22",324868399,55509442,380377841
"109","QN26",121110116,95189615,216299731
"110","QN28",23973911,13659839,37633750
"111","QN29",1976657743,6824888489,8801546232
"112","QN31",6068690181,3171026206,9239716387
"113","QN35",8329959,9350832,17680791
"114","QN53",63116871,29001702,92118573
"115","QN54",3780979812,2208234485,5989214297
"116","QN55",3888234022,2250746567,6138980589
"117","QN56",2050974880,156133796,2207108676
"118","QN60",3800950884,664754437,4465705321
"119","QN61",7886948557,1412787230,9299735787
"120","QN63",29952249,27994556,57946805
"121","QN68",94800559,47058071,141858630
"122","QN70",236059462,151417224,387476686
"123","QN72",109583064,69297900,178880964
"124","QN98",9414557,1655893,11070450
"125","QN99",12375319,21541661,33916980
"126","SI01",22497851,16540242,39038093
"127","SI37",7325920,2410678,9736598
"128","SI45",26582134,17635863,44217997
